number	title	pageid	namespace	length	touched
1	Alkohole	88		33977	20181216214754
2	Aluminium	93		114330	20181216161017
3	Antimon	95		33407	20181217190733
4	Arsen	97		84146	20181217220753
5	Angela_Merkel	145		182982	20181218025358
6	Aleister_Crowley	160		103715	20181219001312
7	Ampelkoalition	200		15451	20181118101826
8	Archaeopteryx	222		34572	20181217141830
9	Ammoniak	245		61540	20181215154643
10	Aldi	267		109256	20181216194901
11	Adrenalin	318		31105	20181219170322
12	Ariel_Scharon	321		34856	20181218140304
13	Anaerobie	339		10014	20181217141830
14	Ambra	353		18976	20181215154643
15	Barium	489		28541	20181217141830
16	Beryllium	490		29128	20181217141830
17	Blei	492		85556	20181218201619
18	Brom	493		22773	20181216161017
19	Bund_für_Umwelt_und_Naturschutz_Deutschland	504		37532	20181218122207
20	Bonsai	537		51472	20181216161017
21	Baryonyx	539		32920	20181208141931
22	Bodensee	540		148919	20181216161017
23	Geschichte_von_Bündnis_90/Die_Grünen	541		119601	20181208141931
24	Motorenbenzin	619		29791	20181215214817
25	Bernhard_Grzimek	646		30451	20181218140304
26	Biogas	681		34949	20181214203227
27	Bremsen	687		9492	20181126102836
28	Bergfilm	749		8690	20181208141931
29	Cyanwasserstoff	754		29798	20181219121312
30	Baden_(Land)	778		70123	20181220070719
31	Calcium	802		39824	20181208141931
32	Cadmium	803		34841	20181217220753
33	Cer	804		14774	20181127101926
34	Chlor	806		54754	20181216161017
35	Caesium	809		38634	20181208141931
36	Carl_von_Linné	874		69755	20181215222117
37	Carl_Amery	991		20527	20181208141931
38	Delphi-Methode	1004		18000	20181208141931
39	Dysprosium	1018		10579	20181215154643
40	Dinosaurier	1063		110491	20181220092124
41	Deuterium	1148		8683	20181217141830
42	Düssel	1215		31991	20181208141931
43	Dodo	1219		21024	20181218212642
44	Erbium	1246		10404	20181208141931
45	Europium	1248		39997	20181208141931
46	Eisen	1249		73882	20181217124906
47	Edel-Tanne	1275		21255	20181215154643
48	El_Niño	1280		18063	20181208141931
49	Erdbeben	1316		38989	20181216161017
50	Engerling	1331		4208	20181208141931
51	Endemit	1343		9394	20181217141830
52	Verwitterung	1386		38669	20181218163714
53	Elefantenvögel	1401		12313	20181126102836
54	Eibengewächse	1413		8486	20181208141931
55	Europäische_Eibe	1420		71180	20181220072900
56	Eichen	1447		44498	20181208141931
57	Frederic_Vester	1567		11913	20181208141931
58	Fluor	1575		50802	20181208141931
59	Fritz_Kuhn	1597		11134	20181220075618
60	Fichten	1601		23031	20181218201636
61	Flöhe	1716		18636	20181216161017
62	Fledermäuse	1723		73548	20181220073336
63	Föhr	1731		26317	20181211180120
64	Frankenwald	1751		22048	20181123205843
65	Gallium	1810		33481	20181212154006
66	Gadolinium	1811		26300	20181208141931
67	Germanium	1812		27193	20181216161017
68	Greenpeace	1829		62819	20181219094415
69	Globale_Erwärmung	1841		195685	20181219104248
70	Göttingen	1887		172093	20181216161017
71	Genyornis	2011		3748	20181126102836
72	Ginkgo	2030		65827	20181216161017
73	Hamburg	2129		204587	20181219121359
74	Holmium	2133		10873	20181215154643
75	Hafnium	2134		23840	20181215154643
76	Helgoland	2161		160861	20181216203201
77	Heroin	2163		70776	20181217221139
78	Hainbuche	2164		26213	20181220072900
79	Hirohito	2193		38282	20181218170711
80	Hydrologie	2277		9977	20181217141830
81	Indium	2345		40319	20181208141931
82	Iod	2349		44993	20181208141931
83	Indigo	2390		17428	20181214131027
84	Indus-Kultur	2395		46733	20181208141931
85	Joschka_Fischer	2495		48664	20181218140304
86	Justus_von_Liebig	2549		41306	20181213112914
87	Jürgen_Trittin	2590		36573	20181212202332
88	Kalium	2633		47721	20181216161017
89	Kopenhagen	2682		57866	20181218133558
90	Königswasser	2741		7226	20181210113116
91	Kavitation	2758		14374	20181216161017
92	Krakatau	2761		21116	20181217183412
93	Coffein	2904		49274	20181218192712
94	Lanthan	2931		13377	20181127101926
95	Lithium	2932		65760	20181217141830
96	Lutetium	2933		28522	20181208141931
97	LSD	2960		64594	20181210113116
98	Ljubljana	3039		43679	20181216161017
99	Lanzarote	3071		43340	20181215154643
100	Landschaftsplanung	3120		25631	20181216161017
101	Magnesium	3173		41597	20181216161017
102	Mangan	3174		46412	20181208141931
103	Magdeburg	3229		252865	20181219154526
104	Methanol	3243		78867	20181215154643
105	Methan	3289		36815	20181215154643
106	Landkreis_Marburg-Biedenkopf	3353		60835	20181210223559
107	Mauna_Loa	3367		17843	20181130205624
108	Moas	3385		24687	20181208141931
109	Silikatverwitterung	3461		3693	20181208141931
110	Niue	3506		31235	20181216161018
111	Natrium	3516		49029	20181216161018
112	Neodym	3518		18144	20181215154643
113	Niob	3521		23955	20181219071514
114	Nickel	3522		39680	20181216161018
115	Naturschutzorganisation	3569		7727	20181208141931
116	Nördlinger_Ries	3592		37167	20181208141931
117	Nitrofen	3599		7634	20181210113116
118	Nordfriesische_Inseln	3628		9698	20181123205843
119	Neandertal	3642		52661	20181212170734
120	Osmium	3701		27837	20181217141830
121	Otto_Schily	3714		37227	20181208141932
122	Otto_Hahn	3715		186438	20181215153022
123	Ozon	3722		40095	20181217141830
124	Oberrheinische_Tiefebene	3803		28531	20181208141932
125	Orang-Utans	3815		46303	20181218162419
126	Platin	3850		31690	20181127101926
127	Palladium	3851		16714	20181203150017
128	Praseodym	3854		12852	20181127101926
129	Pappeln	3887		37976	20181219073324
130	Parasitismus	3931		26624	20181217141830
131	Pöl	4083		85	20181204183143
132	Photovoltaik	4100		108655	20181218080643
133	Procynosuchus	4134		2723	20181126102836
134	Pelit	4168		1797	20181208141932
135	Quecksilber	4176		90448	20181217141830
136	Quagga	4188		11622	20181208124202
137	Rhodium	4225		28906	20181219120718
138	Ruthenium	4226		40161	20181220081140
139	Rhenium	4227		27906	20181215154643
140	Rubidium	4229		15659	20181216161018
141	Richterskala	4297		12218	20181218074855
142	Selbstregulation	4441		4502	20180908121516
143	Symbiose	4447		12644	20181217141830
144	Stuttgart	4492		202071	20181217171712
145	Silber	4539		60652	20181217141830
146	Strontium	4541		36604	20181208141932
147	Scandium	4542		13606	20181215154643
148	Sauerstoff	4543		69896	20181217141830
149	Selen	4544		45521	20181212143525
150	Schwefel	4547		103338	20181217222102
151	Samarium	4548		13409	20181208141932
152	Speierling	4594		25915	20181220072900
153	Schwarzwald	4595		66433	20181209141832
154	Schönbuch	4597		67171	20181213052655
155	Schwäbische_Alb	4598		95563	20181214093637
156	Schnittlauch	4604		29479	20181218080700
157	Silber-Weide	4606		15581	20181220072900
158	Serotonin	4610		82003	20181217141830
159	Systematik_der_Dinosaurier	4639		54471	20181208141932
160	Flugsaurier	4640		37807	20181218000832
161	Sylt	4681		100135	20181216161018
162	Stalagmit	4730		3027	20181003063723
163	Stalaktit	4731		3092	20181122190128
164	Salpetersäure	4736		16386	20181210113116
165	Salzsäure	4737		14444	20181210113116
166	Sojabohne	4747		51294	20181217222842
167	Sumer	4763		7195	20181218162238
168	Stockholm	4790		65311	20181216161018
169	Säbelzahnkatzen	4822		17984	20181208141932
170	Smilodon	4825		14484	20181216161018
171	Schwefelwasserstoff	4868		29269	20181220094151
172	Solartechnik	4904		2619	20181126193819
173	Sonnenenergie	4905		16568	20181208141932
174	Schwarzpulver	4908		28332	20181215154643
175	Schwefeldioxid	4999		14869	20181210113116
176	Thulium	5042		13426	20181205093731
177	Thallium	5043		17720	20181216161018
178	Tantal	5044		33509	20181215211321
179	Tellur	5046		59717	20181215154643
180	Tropfstein	5154		12967	20181118172437
181	Technologie	5180		9746	20181219232814
182	Taunus	5190		67097	20181208141932
183	Tonminerale	5284		7911	20181130092847
184	Viktor_Kaplan	5415		16526	20181205093731
185	Vitamin_D	5450		115997	20181216161018
186	Vanillin	5454		35622	20181210190656
187	Wasserstoff	5547		81623	20181217141830
188	Wandertaube	5665		21644	20181208124202
189	Weiß-Tanne	5670		61560	20181220072900
190	Walrat	5685		12780	20181216161018
191	Windkraftanlage	5693		206229	20181216161018
192	Ytterbium	5740		33078	20181211151824
193	Yttrium	5741		13518	20181215154643
194	Zirconium	5756		31871	20181218074612
195	Zecken	5785		30407	20181126102836
196	Ökosteuer_(Deutschland)	7332		21014	20181215154643
197	Ökologisch-Demokratische_Partei	7333		95509	20181216183650
198	Markgräflerland	7809		30541	20181208141932
199	Wüste	7866		25017	20181219215158
200	Verkehrsclub_Deutschland	7897		23455	20181208141932
201	Ethanol	8010		68431	20181216161019
202	Eisberg	8196		8205	20181216161019
203	Tropen	8203		6412	20181217141830
204	Gletscher	8226		50843	20181212070747
205	Schelfeis	8250		7414	20181208141932
206	Heidelberg	8272		159128	20181211235446
207	Epizentrum	8322		2307	20181216161019
208	Ansel_Adams	8383		95915	20181218140304
209	Atoll	8399		6073	20181216161019
210	Lagune	8400		8795	20181215154643
211	Great_Barrier_Reef	8407		35804	20181215154643
212	Testosteron	8414		29070	20181215154643
213	Albert_Schweitzer	8465		78432	20181208141932
214	Vulkan	8504		27103	20181210074105
215	Buchen	8735		11255	20181218140518
216	Rotbuche	8736		51163	20181220072900
217	Kohle	8899		40621	20181211235446
218	Holzkohle	8900		33194	20181208141932
219	Schellack	9016		20720	20181219135535
220	Joseph_Beuys	9026		143542	20181218125752
221	Regenwald	9049		3552	20181120173947
222	Mifepriston	9184		11120	20181215104412
223	Naturpark_Barnim	9236		4490	20181123205843
224	Naturpark_Nuthe-Nieplitz	9239		34841	20181216162143
225	Mammute	9249		39380	20181219112318
226	Osterinsel	9263		69786	20181216182517
227	Incisivosaurus	9314		4781	20181126102836
228	Müncheberg	9391		31652	20181208141932
229	Lawine	9515		45510	20181219173138
230	Moräne	9530		6948	20181216161019
231	Bassas_da_India	9551		6059	20181215154644
232	Auerochse	9700		58271	20181215154644
233	Titan_(Element)	9723		31402	20181208141932
234	Navassa	9740		13773	20181216161019
235	Vegetation	10055		6119	20181219044018
236	Noradrenalin	10150		9629	20181210113116
237	Permakultur	10232		44403	20181217203943
238	Beutelwolf	10271		30527	20181216161019
239	Ernst_Ulrich_von_Weizsäcker	10311		11520	20181208141933
240	Märkische_Schweiz	10388		7154	20181208141933
241	Bill_Mollison	10390		2897	20181216135352
242	Wasserstoffantrieb	10396		46075	20181208141933
243	Schistosomiasis	10443		15070	20181208141933
244	Pärchenegel	10458		12279	20181217141830
245	Treibhauseffekt	10464		40263	20181218111301
246	Umweltverschmutzung	10483		13940	20181208141933
247	Umweltschutz	10487		31732	20181208141933
248	Ökotourismus	10491		10490	20181216161019
249	Kingmanriff	10529		8435	20181216161019
250	Windmühle	10531		72578	20181208141933
251	Platanen	10571		11112	20181208141933
252	Kieselgur	10597		18176	20181208141933
253	Clipperton-Insel	10645		16455	20181216184835
254	Ruhrgebiet	10737		80545	20181208141933
255	Karzinogen	10791		17526	20181216161019
256	Buttersäure	10800		9793	20181212085308
257	Wasserfalle	10835		16340	20181208141933
258	Teratogen	10841		9782	20181217141830
259	Neandertaler	10869		185570	20181216161019
260	Acrylamid	10954		22813	20181216161019
261	Surtsey	10994		26998	20181216161009
262	Matterhorn	11000		27776	20181216161019
263	Wald	11036		81359	20181216161019
264	Lithiumhydrid	11100		6924	20181210113116
265	Same_(Pflanze)	11172		3410	20181208141933
266	Tsunami	11182		45432	20181216161019
267	Lithiumbromid	11270		6776	20181210113116
268	Lithiumcarbonat	11271		10991	20181216215851
269	Lithiumchlorid	11272		9055	20181215154644
270	Lithiumfluorid	11273		7795	20181210113116
271	Lithiumhydroxid	11275		5361	20181210113116
272	Lithiumiodid	11276		5641	20181210113116
273	Sonnenkollektor	11282		32813	20181216161019
274	Natriumhydroxid	11352		14062	20181218121521
275	Robin_Wood	11356		7680	20181208141933
276	Natriumcarbonat	11407		18379	20181215060213
277	Baum	11447		54191	20181208141933
278	Infektionskrankheit	11464		32535	20181212075649
279	Heterotrophie	11478		3918	20181216161019
280	Sedimente_und_Sedimentgesteine	11526		17575	20181210113911
281	Wasserstoffverbrennungsmotor	11527		25269	20181220102005
282	Resistenz	11575		11632	20181216161019
283	Andreas_Hofer	11579		34141	20181217063234
284	Flusssäure	11585		8528	20181210113116
285	Brikett	11587		6798	20181216161019
286	Pollen	11620		21622	20181215154644
287	Spezifische_Absorptionsrate	11669		6346	20181218072202
288	Pelletheizung	11675		36092	20181218012108
289	Masuren	11768		17328	20181108093316
290	Endosymbiontentheorie	11943		16111	20181217141830
291	Atropin	12030		18423	20181210113116
292	Windgeschwindigkeit	12053		15624	20181003063725
293	Erneuerbare-Energien-Gesetz	12067		272039	20181220095722
294	Faulgas	12127		5397	20181208141933
295	Ätna	12182		46011	20181216161020
296	Klärgas	12353		111	20181214203223
297	Natriumnitrat	12355		8990	20181210113116
298	Lehm	12465		13779	20181119152517
299	Peter_Singer	12472		20511	20181208141933
300	Matthias_Platzeck	12492		28549	20181208141933
301	Eispickel	12645		5759	20181208141933
302	Kaliumcarbonat	12860		9678	20181210113116
303	Hans_Fallada	12871		54603	20181218140304
304	Selektion_(Evolution)	12883		50272	20181216161020
305	Zink	12971		55101	20181208141933
306	Luftverschmutzung	13030		37315	20181208141933
307	Wiese_(Grünland)	13291		7677	20181119084929
308	Ökosystem	13292		49809	20181217141831
309	Odenwald	13364		87935	20181210223559
310	Conways_Spiel_des_Lebens	13472		30617	20181216205258
311	Harz_(Mittelgebirge)	13631		90543	20181215145941
312	Louis_Pasteur	13719		149639	20181214125130
313	Filzlaus	13734		8657	20181126102836
314	Baikalsee	13784		28974	20181216161020
315	Screening	13814		16878	20181208141933
316	Wümme	14062		16247	20181216161020
317	Altes_Land	14072		13398	20181123205843
318	Lüneburger_Heide	14073		97673	20181216161020
319	Steinhuder_Meer	14083		21157	20181209202437
320	Roßtrappe	14088		5653	20181123205843
321	Bodetal	14097		18322	20181208141457
322	Naturpark_Westhavelland	14135		7786	20181123205843
323	Heinrich_Harrer	14154		24735	20181219083155
324	Fläming	14156		129858	20181208141933
325	Rostock	14174		161087	20181218171212
326	Naturpark_Dahme-Heideseen	14180		9992	20181123205843
327	Pyroklast	14188		7010	20181217141831
328	Elster-Kaltzeit	14385		9462	20181026150328
329	Saale-Komplex	14386		10374	20181026150328
330	Grundmoräne	14388		3257	20181204140251
331	Endmoräne	14389		4840	20181204141341
332	Hindenburgdamm	14429		13925	20181217115438
333	Koralle	14436		11372	20181216161020
334	Paraquat	14482		19216	20181215154644
335	Baum_des_Jahres	14563		19044	20181218214209
336	Vogelbeere	14567		43190	20181220072900
337	Galapagosinseln	14636		47224	20181216161020
338	Sand	14746		49307	20181216161020
339	Renate_Künast	14916		27375	20181208141933
340	Waldsterben	14956		32489	20181214113733
341	Obstbaum	15007		5177	20181003063725
342	Frucht	15011		14794	20181216161020
343	Riesengebirge	15015		47416	20181216161020
344	Zittauer_Gebirge	15031		11221	20181208094747
345	Bessarabien	15067		57574	20181216161020
